,model,model_params,valid_MAE,valid_MSE,valid_R2,valid_MAPE,test_MAE,test_MSE,test_R2,test_MAPE
0,ANN,"{'EPOCHS': 50, 'BATCH_SIZE': 150, 'early_stopping': True}",341.34765625,218822.15625,0.9727991223335266,0.022689800709486008,367.9835510253906,230439.109375,0.9703997373580933,0.025829395279288292
1,SVM,,1482.3520971711976,3677024.531105712,0.5429243181090591,0.10203690131503029,1560.6370388487503,3856333.5091411853,0.5046482993625299,0.11582073600809739
2,RF,,285.5383219489982,162757.65691696267,0.9797682701355485,0.01875961253510049,331.54281849315066,194048.20046953196,0.9750742237723028,0.02282479100622794
